mode,n,mean,std,ci95_lo,ci95_hi
gate_fallback,30,10.3659,2.7783,9.3446,11.3662
none,30,0.0000,0.0000,0.0000,0.0000
project,30,12.7434,3.0639,11.6141,13.7731
