seed,scenario,mode,centralized,projection,steps,n_agents,noise_std,C,policy_ids,violation_rate,collision_rate,mean_drift,p95_drift,mean_latency_ms
10059,crossing,gate_fallback,True,slsqp,200,5,0.05,"{'v_max': 2.0, 'sep_min': 1.0, 'arena_radius': 20.0, 'step_dt': 0.2, 'margin': 0.0}","['0bbf03e185359acd630f447f373df910c5c297bcecd6512aabb2ec1c6ea54bbc', 'dc5e42d226ee1efcd8b1b951fcf6878bc466c2aa75e371deb41f1bf4f773ae8b', '412365cffefb95f1886e8742c80071b95867e06bc7dae26d547a1e4c8eb08ac4', 'f0a567a75be7ee073b20bab16b84e59e72a7fa4d82dce5922d7f5ab34163f82e', '8d8afeb8997734fd698da49b7be6b81280452322b392ef0a951e47fe6a4d3a1f']",0.0,0.0,11.238343977480993,30.43500077006356,0.03538335848134011
2059,crossing,none,True,slsqp,200,5,0.05,"{'v_max': 2.0, 'sep_min': 1.0, 'arena_radius': 20.0, 'step_dt': 0.2, 'margin': 0.0}","['52703295016c1cf79098cb22bc2a9f664569c52a50a5dd440966a50511422a21', 'df0fa0130603d71fda34ca1f2b71680493908a17594493faf7436c84ee2128d1', 'da294ff453438fcf158af252ad4579b239ecfc386f703490fdb1693a03a9df0f', 'dc287d0884bcc30207c114b71b0161edbba68856fd9cff500e6b9f54f1357a3b', '64a94d53a6e7bc691ebbc5a6e6fdf70d9630359f43a1aeb6f8e711aa2ad3958d']",1.0,0.015,0.0,0.0,0.00071107511757873
24059,crossing,gate_fallback,True,slsqp,200,5,0.05,"{'v_max': 2.0, 'sep_min': 1.0, 'arena_radius': 20.0, 'step_dt': 0.2, 'margin': 0.0}","['cbf7e71792b9f2f26aa47d9e64f161f5fb01ba4082b52a8061c2d1a2317bc7ef', '591c2d77b909043d401bd7f28b0004b90afdec9e27087007754a0e26d6bd64ad', '599cab3b42c08d576f10c8e92b3d8df3ce4d1c02d2abfe0ead657ab880f837a7', '179bfd8c577b574b8176ef5a98b993329645081b78762fa6f403a9fa8bfbf93f', '5593fb07c2d89d7c946ca50f59f5577705fc86a9b3bea1f2cf074c6a3b762d3a']",0.0,0.0,11.70060587403928,20.199466359005985,0.035517489595804363
19059,crossing,project,True,slsqp,200,5,0.05,"{'v_max': 2.0, 'sep_min': 1.0, 'arena_radius': 20.0, 'step_dt': 0.2, 'margin': 0.0}","['40d79f334d1df784950ae6fde50d1b8c71dc24c2b4ba1cf499f8ccff5d13305a', 'c38dde70c775116ee88c62c2c55b2c142ea5efc3f05ac3832da19b9cd976a388', '5439dc73882b505bec883624564e35e0f44451722e7d5be8fa3c8c7fcfdbfafc', '69d7e0f5851f1c3321a1e26095a94671322773871832cfb2687343ffad244864', '4e495ce12dd15adfce00aff9266adc68f7e54f0b668917414dbc93b751472b71']",0.755,0.0,9.741740265270469,30.90686086443867,8.590341464587254
20059,crossing,gate_fallback,True,slsqp,200,5,0.05,"{'v_max': 2.0, 'sep_min': 1.0, 'arena_radius': 20.0, 'step_dt': 0.2, 'margin': 0.0}","['21b6342fb3e14090aff8022932e15b423ef32972626b4322ab76a67566279349', 'a97212788aa74d58f65558554453d3e68df1c5baae768a2bb0fad1db50bb9440', '06c449a9ba35ea04229b857da7bb50a5f69502afbf1d276629e654a9794b4ffe', 'b71b62167cf9ab225c55b6e572d8f182e6ca3ff92e18ca343de4305598c49bfb', 'e5910674fa52fa862014a0bfe60a18af03ef8854b925d764307aecee6cb59c1e']",0.0,0.0,11.851009021930265,29.184574103506588,0.03612395434174687
6059,crossing,none,True,slsqp,200,5,0.05,"{'v_max': 2.0, 'sep_min': 1.0, 'arena_radius': 20.0, 'step_dt': 0.2, 'margin': 0.0}","['121eac6f2a5bd5cf7f5b56d6d3bb100a62dff1aeea089042ebc5a6b0c80ede52', '2543582bfa813ae15f167d428746a910b5384da92b373a1904c610358134ef9f', '05884552d61e3e389472fabd89ab2e793f8463bd4b220fba022a976cf7d9af1e', '623686e46e084c052c0387012e6fab6db1a1981f55c8c5be88c24a647e944bf0', 'e19e7ebdf9de13be17cea15444900458bd584c5f557b1537d1873ffe7935545e']",1.0,0.0,0.0,0.0,0.0006998093158472329
14059,crossing,gate_fallback,True,slsqp,200,5,0.05,"{'v_max': 2.0, 'sep_min': 1.0, 'arena_radius': 20.0, 'step_dt': 0.2, 'margin': 0.0}","['0ba9c7aa87d835de8e4de1cb9a5528a843c53bb212f2bc2ad9cb08621a673323', '34abb2792bb9040da3e4c828dd9fcf02c4661c4eb4af53cceb790339a2b19701', 'aabf6a92b11fc2d411f187ba660f7f238543da01ec4d6f7437b75722908ac76e', '0f6bc3c8a15939e5720a4fb75a9cfeaad945c967105c3fee773e90df275015c9', 'da5f1be3691b2746d4f539f7af1abd51bad9ce9b6e1be9ce7cb3803682970e9e']",0.0,0.0,12.10480719048191,33.92797704252847,0.03447878028964624
9059,crossing,project,True,slsqp,200,5,0.05,"{'v_max': 2.0, 'sep_min': 1.0, 'arena_radius': 20.0, 'step_dt': 0.2, 'margin': 0.0}","['f84fdec5d2042efecb4f6322adcfe55aba964274016ada13c4945bc6f2145c59', '56ba9a1bc64d0456168107338394e48ab3fbb4138445096bc1840c27c8a7ca22', 'ae8972ceeab0a77492b53c34ee8047406719c49c74a4e0ce737b69060c33cfff', 'a27940496f047103ff0c5b2e53f931c8820ddbde411c97067cdf15e03294914d', '0906d565adfd7c68d59df269e3ae0813b419cb2444e153b41914bc60194a530e']",0.84,0.0,11.265261802991107,37.20610998380239,9.76000706999912
21059,crossing,none,True,slsqp,200,5,0.05,"{'v_max': 2.0, 'sep_min': 1.0, 'arena_radius': 20.0, 'step_dt': 0.2, 'margin': 0.0}","['49050ac14c9d043e73806e47b4d4088c09d0d5e83f2758b2595bfca96d6113cd', '20d386e6c8fe4db2a7748ffa714ed519166ce377d2287ec51d030d7a8dfb8fcd', 'd34cfecbdc0c93372c9aee6acfcc322d8c8d744eaa3d0652bba4eaccdc2c45a3', '0aab7b9f969f2ee4aebd7066c4a80bb9b2e1e4fa57953c4667e2cd7d3dde2cb9', 'da4397a066caa11b3b35556c477f653668887b1ac445415e6895b152c002005a']",1.0,0.0,0.0,0.0,0.0006758252857252955
15059,crossing,none,True,slsqp,200,5,0.05,"{'v_max': 2.0, 'sep_min': 1.0, 'arena_radius': 20.0, 'step_dt': 0.2, 'margin': 0.0}","['d838182775e807d7cd5a07dacd505eecff974711930d1feae083aac84f1538d9', 'f93ca1c585bd2437e06596ed09e67e447f2d53c45bd0afd2d6c5d568f324d52d', '357bbefad1d771177f47ff9b6e59d30a1b97ba37d83979bc03bd25903f88e2bd', '22a260455396ec43c5c22cec72808c8d145f0d875a27e95ddf56e1d6bed71b4a', '8ef070518407f9f1434620972dcb9ff6b30685f58c187e8b282c4518d8bc085b']",1.0,0.0,0.0,0.0,0.0006918539293110371
